,АЗС №35400 Кичменгский Городок,АЗС №35401 Великий Устюг-1,АЗС №35402 Великий Устюг-2,АЗС №35403 Дунай,АЗС №35404 Нюксеница,АЗС №35405 Борисово-Судское,АЗС №35406 Журавлево,АЗС №35407 Грязовец-1,АЗС №35408 Грязовец-2,АЗС №35409 Савино,АЗС №35410 Сазоново-1,АЗС №35411 Сазоново-2,АЗС №35412 Вытегра,АЗС №35413 Липник,АЗС №35414 Кириллов,АЗС №35415 Погорелово,АЗС №35416 Тарногский Городок,АЗС №35417 Барское,АЗС №35418 Бабаево,АЗС №35419 Молочное,АЗС №35420 Шексна,АЗС №35421 Кадуй,АЗС №35422 с. Бабушкина,АЗС №35423 Никольск-1,АЗС №35424 Никольск-2,АЗС №35425 Козловка,АЗС №35426 Сямжа,АЗС №35427 Марьинское,АЗС №35428 Ананино,АЗС №35429 Чекшино-1,АЗС №35430 Чекшино-2,АЗС №35431 Тотьма,АЗС №35432 Ботово,АЗС №35433 Сокол,АЗС №35434 Верховажье,АЗС №35435 Устюжна,АЗС №35436 Вожега,АЗС №35437 Харовск,АЗС №35438 Московское шоссе,АЗС №35439 Козленская,АЗС №35440 Мудрова,АЗС №35441 Преображенского,АЗС №35442 Гагарина (Вологда),АЗС №35443 Маршала Конева-1,АЗС №35444 Маршала Конева-2,АЗС №35445 Чернышевского-1,АЗС №35446 Чернышевского-2,АЗС №35447 Ленинградская,АЗС №35448 Водников,АЗС №35449 Нелазское,АЗС №35450 Кирилловское шоссе-1,АЗС №35451 Кирилловское шоссе-2,АЗС №35452 Металлургов,АЗС №35453 Рыбинская,АЗС №35454 Октябрьский пр.-1 (Вологда),АЗС №35455 Октябрьский пр.-2 (Вологда),АЗС №35456 Маяковская,АЗС №35457 Краснодонцев,АЗС №35458 Северсталь,АЗС №35459 Олимпийская,АЗС №35460 Северное шоссе-1,АЗС №35461 Северное шоссе-2,АЗС № 35462 Аксеново,Нефтебаза
АЗС №35400 Кичменгский Городок,0.0,99227.2,101851.3,139213.5,154252.2,777263.5,102432.8,520502.0,517886.3,266701.4,782702.2,782214.5,793012.7,636364.1,594023.8,320483.9,184388.0,450076.8,768581.2,481986.5,554805.9,644652.6,236277.0,61583.8,63969.4,76012.6,455750.4,472193.0,1472.9,408367.1,408362.8,270613.2,587735.4,453209.4,389530.4,714995.2,577639.5,506972.5,479932.0,476657.6,473348.9,478652.7,478316.0,478416.5,479180.7,469221.9,470382.3,477767.6,475348.5,611807.1,604978.5,604250.0,609074.9,604034.0,610388.6,610302.8,607328.3,609057.9,611085.2,611060.5,604268.4,605755.5,502982.6,477932.5
АЗС №35401 Великий Устюг-1,99068.4,0.0,4946.5,134520.1,149558.9,748031.8,5528.0,491270.3,488654.6,241727.6,753470.5,752982.8,763781.0,607132.4,564792.1,291252.3,179694.6,420845.1,739349.5,452754.9,525574.3,615420.9,272046.4,160612.4,162997.9,175041.2,426518.8,442961.3,100501.5,379135.5,379131.1,240836.0,558503.7,423977.7,292571.4,685763.5,512241.6,477740.9,450700.3,447425.9,444117.3,449421.0,449084.4,449184.8,449949.0,439990.2,441150.7,448535.9,446116.8,582575.5,575746.8,575018.3,579843.3,574802.3,581157.0,581071.1,578096.7,579826.3,581853.5,581828.8,575036.8,576523.8,473751.0,448700.8
АЗС №35402 Великий Устюг-2,101814.8,5068.8,0.0,137266.5,152305.3,750778.1,3030.2,494016.6,491401.0,244473.9,756216.9,755729.2,766527.3,609878.8,567538.4,293998.6,182441.0,423591.5,742095.8,455501.2,528320.6,618167.2,274792.8,163358.7,165744.3,177787.5,429265.1,445707.6,103247.8,381881.8,381877.5,243582.3,561250.0,426724.0,295317.7,688509.9,514988.0,480487.2,453446.6,450172.2,446863.6,452167.3,451830.7,451931.2,452695.3,442736.5,443897.0,451282.3,448863.1,585321.8,578493.2,577764.7,582589.6,577548.6,583903.3,583817.4,580843.0,582572.6,584599.9,584575.2,577783.1,579270.2,476497.3,451447.2
АЗС №35403 Дунай,139213.5,134679.1,137303.1,0.0,15096.1,613569.0,137884.6,356807.5,354191.8,107264.8,619007.7,618520.1,629318.2,472669.6,430329.3,156789.5,45231.9,286382.3,604886.7,318292.1,391111.5,480958.1,137583.6,199676.1,202061.7,214105.0,292056.0,308498.5,139565.2,244672.7,244668.3,106373.2,424040.9,289514.9,158108.6,551300.7,377778.9,343278.1,316237.5,312963.1,309654.5,314958.2,314621.6,314722.0,315486.2,305527.4,306687.9,314073.1,311654.0,448112.7,441284.0,440555.5,445380.5,440339.5,446694.2,446608.3,443633.9,445363.5,447390.8,447366.0,440574.0,442061.0,339288.2,314238.0
АЗС №35404 Нюксеница,154252.2,149717.8,152341.9,15096.1,0.0,613894.7,152923.4,357133.2,354517.6,107590.5,619333.5,618845.8,629644.0,472995.4,430655.0,157115.2,45557.6,286708.1,605212.5,318617.8,391437.2,481283.8,137909.4,214714.9,217100.4,229143.7,292381.7,308824.2,154604.0,244998.4,244994.1,106698.9,424366.6,289840.6,158434.3,551626.5,378104.6,343603.8,316563.3,313288.8,309980.2,315283.9,314947.3,315047.8,315812.0,305853.2,307013.6,314398.9,311979.8,448438.4,441609.8,440881.3,445706.2,440665.2,447019.9,446934.1,443959.6,445689.2,447716.5,447691.8,440899.7,442386.8,339613.9,314563.8
АЗС №35405 Борисово-Судское,778988.5,749819.7,752443.8,615198.0,615523.8,0.0,753025.3,349054.7,346439.0,512413.5,142959.7,142472.0,165896.5,193296.6,271985.0,458706.6,632550.7,328815.7,58407.9,309805.5,223101.4,132673.9,542615.5,718421.5,715051.2,732004.7,419127.8,305919.5,777651.4,370692.0,370661.0,508923.8,190277.6,341305.1,527599.0,152103.4,479907.3,416690.7,310432.7,308116.9,309203.5,300780.2,301961.5,308257.4,307318.9,309510.1,308567.7,302563.9,308545.2,165768.4,184497.2,185143.7,184077.2,189979.9,187448.0,187362.2,184785.0,188381.6,183688.1,191177.2,185142.6,186629.6,274414.1,309391.8
АЗС №35406 Журавлево,102432.9,5483.2,2968.6,137884.6,152923.4,751396.3,0.0,494634.7,492019.1,245092.1,756835.0,756347.3,767145.5,610496.9,568156.6,294616.7,183059.1,424209.6,742714.0,456119.3,528938.7,618785.3,275410.9,163976.8,166362.4,178405.7,429883.2,446325.7,103865.9,382499.9,382495.6,244200.4,561868.1,427342.1,295935.8,689128.0,515606.1,481105.3,454064.8,450790.4,447481.7,452785.4,452448.8,452549.3,453313.5,443354.7,444515.1,451900.4,449481.3,585939.9,579111.3,578382.8,583207.7,578166.7,584521.4,584435.6,581461.1,583190.7,585218.0,585193.3,578401.2,579888.3,477115.4,452065.3
АЗС №35407 Грязовец-1,519916.3,490747.6,493371.6,356125.9,356451.6,349747.9,493953.1,0.0,3701.8,253341.4,355186.7,354699.0,373527.6,216879.0,174538.7,199634.4,373478.5,69743.6,341065.7,62501.4,127290.4,217137.0,283543.4,459349.4,455979.1,472932.5,160055.7,58615.5,518579.3,111619.9,111588.9,249851.6,160219.8,82233.0,268526.8,287479.7,220835.1,157618.6,42404.1,43993.9,50355.0,47932.3,46072.0,41681.5,40743.0,50661.6,49719.3,46259.4,48103.0,184291.6,177463.0,176734.5,181559.4,176518.4,182873.1,182787.3,179812.8,181542.4,183569.7,183545.0,176752.9,178240.0,75467.1,45671.4
АЗС №35408 Грязовец-2,517341.1,488172.4,490796.4,353550.7,353876.4,347172.7,491377.9,3742.2,0.0,250766.2,352611.5,352123.8,370952.4,214303.8,171963.4,197059.2,370903.3,67168.3,338490.5,59926.2,124715.2,214561.8,280968.2,456774.2,453403.9,470357.3,157480.5,56040.3,516004.1,109044.7,109013.6,247276.4,157644.6,79657.7,265951.6,284904.5,218259.9,155043.4,39828.9,41418.7,47779.8,45357.1,43496.7,39106.3,38167.8,48086.4,47144.1,43684.2,45527.8,181716.4,174887.8,174159.3,178984.2,173943.2,180297.9,180212.0,177237.6,178967.2,180994.5,180969.8,174177.7,175664.8,72891.9,43096.2
АЗС №35409 Савино,266829.1,244866.3,247490.3,110244.5,110570.3,510620.6,248071.8,253859.1,251243.4,0.0,516059.3,515571.6,526369.8,369721.2,327380.9,53841.1,127597.2,183433.9,501938.3,215343.7,288163.0,378009.7,30456.2,206262.2,202891.9,219845.3,189107.5,205550.1,265492.1,141724.2,141719.9,3970.3,321092.5,186566.5,122887.5,448352.3,310996.6,240329.7,213289.1,210014.7,206706.0,212009.8,211673.2,211773.6,212537.8,202579.0,203739.5,211124.7,208705.6,345164.2,338335.6,337607.1,342432.1,337391.1,343745.8,343659.9,340685.4,342415.1,344442.3,344417.6,337625.6,339112.6,236339.7,211289.6
АЗС №35410 Сазоново-1,784389.8,755221.1,757845.1,620599.4,620925.1,142949.4,758426.6,354456.0,351840.3,517814.9,0.0,487.7,505542.3,348893.7,277386.3,464107.9,637952.0,334217.0,85243.2,315206.8,228502.8,176588.4,548016.8,723822.9,720452.5,737406.0,424529.2,311320.9,783052.8,376093.4,376062.3,514325.1,195679.0,346706.4,533000.3,81988.5,485308.6,422092.1,315834.1,313518.2,314604.8,306181.5,307362.8,313658.7,312720.2,314911.4,313969.1,307965.3,313946.6,171169.8,189898.5,190545.1,189478.5,195381.3,192849.4,192763.5,190186.3,193782.9,189089.5,196578.5,190543.9,192030.9,279815.5,314793.1
АЗС №35411 Сазоново-2,783902.1,754733.4,757357.4,620111.7,620437.4,142461.7,757938.9,353968.3,351352.7,517327.2,487.7,0.0,505054.6,348406.0,276898.6,463620.2,637464.3,333729.4,84755.5,314719.1,228015.1,176100.7,547529.2,723335.2,719964.9,736918.3,424041.5,310833.2,782565.1,375605.7,375574.7,513837.4,195191.3,346218.8,532512.6,81500.8,484820.9,421604.4,315346.4,313030.5,314117.2,305693.9,306875.2,313171.1,312232.6,314423.7,313481.4,307477.6,313458.9,170682.1,189410.8,190057.4,188990.9,194893.6,192361.7,192275.9,189698.7,193295.2,188601.8,196090.9,190056.2,191543.3,279327.8,314305.4
АЗС №35412 Вытегра,794596.1,765427.3,768051.4,630805.6,631131.4,166002.7,768632.9,373218.1,370602.4,528021.1,504500.4,504012.7,0.0,156699.0,228151.1,474314.1,648158.2,344423.3,224410.6,311128.3,344529.3,366450.7,558223.1,734029.1,730658.8,747612.3,434735.4,321527.1,793259.0,386299.6,386268.6,524531.4,311705.6,356912.7,543206.5,436793.4,509904.2,432298.3,331758.0,328483.6,328717.1,325162.0,326343.3,330242.6,331006.7,329441.8,328081.4,326945.7,328476.2,333605.3,326776.7,326048.2,330873.1,334718.7,332186.8,332101.0,329126.5,330856.1,332883.4,332858.7,326066.6,327553.7,345115.3,329758.6
АЗС №35413 Липник,637938.8,608770.0,611394.1,474148.3,474474.1,342404.4,611975.6,216560.8,213945.2,371363.8,347843.1,347355.4,156859.3,0.0,71493.8,317656.9,491501.0,187766.0,333722.1,154471.1,187872.0,209793.5,401565.8,577371.8,574001.5,590955.0,278078.1,164869.8,636601.7,229642.3,229611.3,367874.1,155048.3,200255.4,386549.3,280136.1,338857.6,275641.0,175100.8,171826.3,172059.9,168504.7,169686.0,173585.3,174349.4,172784.5,171424.1,170288.4,171818.9,176948.0,170119.4,169390.9,174215.8,178061.4,175529.5,175443.7,172469.2,174198.8,176226.1,176201.4,169409.3,170896.4,188458.0,173101.3
АЗС №35414 Кириллов,595667.9,566499.2,569123.2,431877.5,432203.2,270992.4,569704.7,174290.0,171674.3,329093.0,276431.2,275943.5,228237.8,71589.3,0.0,275386.0,449230.1,145495.2,262310.2,112200.2,116460.1,138381.5,359295.0,535101.0,531730.7,548684.1,235807.3,122599.0,594330.9,187371.5,187340.5,325603.2,83636.3,157984.6,344278.4,208724.2,296586.7,233370.2,132829.9,129555.5,129789.0,126233.9,127415.2,131314.4,132078.6,130513.6,129153.3,128017.6,129548.1,105536.1,98707.5,97979.0,102803.9,106649.5,104117.6,104031.8,101057.3,102786.9,104814.2,104789.5,97997.4,99484.5,146187.2,130830.4
АЗС №35415 Погорелово,320579.9,291411.2,294035.2,156789.5,157115.2,457077.5,294616.7,200316.0,197700.4,54005.0,462516.3,462028.6,472826.7,316178.2,273837.8,0.0,174142.1,129890.9,448395.2,161800.6,234620.0,324466.6,84207.0,260013.0,256642.7,273596.1,135564.5,152007.0,319242.9,88181.2,88176.9,50515.2,267549.4,133023.4,169432.4,394809.3,257453.6,186786.6,159746.0,156471.6,153163.0,158466.7,158130.1,158230.6,158994.7,149036.0,150196.4,157581.7,155162.6,291621.2,284792.6,284064.1,288889.0,283848.0,290202.7,290116.8,287142.4,288872.0,290899.3,290874.6,284082.5,285569.6,182796.7,157746.6
АЗС №35416 Тарногский Городок,184388.0,179853.6,182477.6,45231.9,45557.6,630921.6,183059.1,374160.1,371544.5,124617.4,636360.4,635872.7,646670.8,490022.3,447681.9,174142.1,0.0,303735.0,622239.4,335644.7,408464.1,498310.7,154936.3,244850.6,327372.0,259279.5,221432.1,325851.1,184739.7,262025.3,262021.0,123725.8,441393.5,306867.5,112923.6,568653.4,332593.9,273472.5,333590.2,330315.7,327007.1,332310.8,331974.2,332074.7,332838.8,322880.1,324040.5,331425.8,329006.7,465465.3,458636.7,457908.2,462733.1,457692.1,464046.8,463961.0,460986.5,462716.1,464743.4,464718.7,457926.6,459413.7,356640.8,331590.7
АЗС №35417 Барское,450172.8,421004.1,423628.1,286382.3,286708.1,327186.7,424209.6,70425.2,67809.5,183597.9,332625.4,332137.7,342935.9,186287.3,143947.0,129890.9,303735.0,0.0,318504.4,31909.8,104729.1,194575.8,213799.8,389605.8,386235.5,403189.0,90312.2,22116.2,448835.7,41876.3,41845.3,180108.1,137658.6,12489.4,198783.3,264918.4,151091.6,87875.0,29855.2,26580.8,23272.1,28575.9,28239.3,28339.7,29103.9,19145.1,20305.6,27690.8,25271.7,161730.3,154901.7,154173.2,158998.1,153957.2,160311.8,160226.0,157251.5,158981.2,161008.4,160983.7,154191.7,155678.7,52905.8,27855.7
АЗС №35418 Бабаево,770393.0,741224.3,743848.3,606602.5,606928.3,58320.2,744429.8,340459.2,337843.5,503818.1,85367.4,84879.7,224216.6,334896.9,263389.5,450111.1,623955.2,320220.2,0.0,301210.0,214505.9,117026.3,534020.0,709826.0,706455.7,723409.2,410532.4,297324.0,769055.9,362096.5,362065.5,500328.3,181682.2,332709.6,519003.5,94511.1,471311.8,408095.2,301837.2,299521.4,300608.0,292184.7,293366.0,299661.9,298723.4,300914.6,299972.2,293968.5,299949.8,157172.9,175901.7,176548.3,175481.7,181384.4,178852.6,178766.7,176189.5,179786.1,175092.7,182581.7,176547.1,178034.1,265818.6,300796.3
АЗС №35419 Молочное,483716.8,454548.1,457172.1,319926.4,320252.1,308516.9,457753.6,62338.9,59723.2,217141.9,313955.6,313468.0,311275.2,154626.7,112286.3,163434.9,337279.0,33544.1,299834.6,0.0,86059.4,175906.0,247343.9,423149.9,419779.6,436733.0,123856.2,10647.9,482379.8,75420.4,75389.3,213652.1,118988.8,46033.5,232327.3,246248.7,184635.6,121419.1,20878.8,17604.4,17837.9,14282.7,15464.0,19363.3,20127.5,18562.5,17202.2,16066.5,17597.0,143060.6,136231.9,135503.4,140328.4,135287.4,141642.1,141556.2,138581.8,140311.4,142338.7,142314.0,135521.9,137008.9,34236.1,18879.3
АЗС №35420 Шексна,555887.0,526718.3,529342.3,392096.6,392422.3,224739.4,529923.9,125953.2,123337.6,289312.1,230178.1,229690.5,346092.0,189443.4,117936.0,235605.1,409449.2,105714.3,216057.1,86704.0,0.0,92128.5,319514.1,495320.1,491949.8,508903.3,196026.4,82818.1,554550.0,147590.6,147559.6,285822.4,35211.3,118203.7,304497.5,162471.2,256805.8,193589.3,87331.3,85015.4,86102.1,77678.8,78860.1,85156.0,84217.5,86408.6,85466.3,79462.5,85443.8,59283.1,52454.5,51725.9,56550.9,60396.5,57864.6,57778.7,54804.3,56533.9,58561.2,58536.5,51744.4,53231.5,51312.7,86290.4
АЗС №35421 Кадуй,646340.2,617171.4,619795.5,482549.7,482875.5,132636.5,620377.0,216406.4,213790.7,379765.3,176552.3,176064.6,367492.7,210844.1,139336.7,326058.3,499902.4,196167.4,117076.7,177157.2,90453.1,0.0,409967.2,585773.2,582402.9,599356.4,286479.6,173271.2,645003.1,238043.7,238012.7,376275.5,57629.4,208656.8,394950.7,108845.3,347259.0,284042.4,177784.4,175468.6,176555.2,168131.9,169313.2,175609.1,174670.6,176861.8,175919.4,169915.6,175897.0,33120.1,51848.9,52495.4,51428.9,57331.6,54799.8,54713.9,52136.7,55733.3,51039.8,58528.9,52494.3,53981.3,141765.8,176743.5
АЗС №35422 с. Бабушкина,236373.0,272228.5,274852.5,137606.8,137932.5,540986.5,275434.0,284225.0,281609.3,30424.4,546425.2,545937.5,556735.7,400087.1,357746.8,84207.0,154959.4,213799.8,532304.2,245709.6,318528.9,408375.6,0.0,175806.0,172435.7,189389.2,219473.5,235916.0,235035.9,172090.2,172085.8,34336.2,351458.4,216932.4,153253.4,478718.2,341362.5,270695.6,243655.0,240380.6,237072.0,242375.7,242039.1,242139.5,242903.7,232944.9,234105.4,241490.6,239071.5,375530.2,368701.5,367973.0,372798.0,367757.0,374111.7,374025.8,371051.3,372781.0,374808.2,374783.5,367991.5,369478.5,266705.7,241655.5
АЗС №35423 Никольск-1,61628.8,160816.2,163440.2,199721.1,214759.9,716741.5,164021.7,459980.0,457364.3,206179.5,722180.2,721692.6,732490.7,575842.1,533501.8,259962.0,244895.6,389554.8,708059.2,421464.6,494284.0,584130.6,175755.0,0.0,3447.4,16471.2,395228.5,411671.0,60291.8,347845.2,347840.8,210091.2,527213.4,392687.4,329008.4,654473.2,517117.6,446450.6,419410.0,416135.6,412827.0,418130.7,417794.1,417894.5,418658.7,408699.9,409860.4,417245.6,414826.5,551285.2,544456.5,543728.0,548553.0,543512.0,549866.7,549780.8,546806.4,548536.0,550563.3,550538.5,543746.5,545233.5,442460.7,417410.5
АЗС №35424 Никольск-2,64226.0,163413.4,166037.4,202318.4,217357.1,713334.0,166618.9,456572.5,453956.8,202772.0,718772.7,718285.1,729083.2,572434.6,530094.3,256554.5,327306.9,386147.3,704651.7,418057.1,490876.5,580723.1,172347.5,3659.1,0.0,17242.2,391821.0,408263.5,62889.0,344437.7,344433.3,206683.7,523805.9,389279.9,325600.9,651065.8,513710.1,443043.1,416002.5,412728.1,409419.5,414723.2,414386.6,414487.0,415251.2,405292.4,406452.9,413838.1,411419.0,547877.7,541049.0,540320.5,545145.5,540104.5,546459.2,546373.3,543398.9,545128.5,547155.8,547131.0,540339.0,541826.0,439053.2,414003.0
АЗС №35425 Козловка,76063.7,175251.1,177875.1,214156.0,229194.8,730486.3,178456.6,473724.8,471109.2,219924.3,735925.1,735437.4,746235.6,589587.0,547246.6,273706.8,259330.5,403299.7,721804.1,435209.4,508028.8,597875.4,189499.9,16632.9,17192.2,0.0,408973.3,425415.8,74726.7,361590.0,361585.7,223836.1,540958.2,406432.2,342753.2,668218.1,530862.4,460195.4,433154.9,429880.5,426571.8,431875.5,431538.9,431639.4,432403.6,422444.8,423605.2,430990.5,428571.4,565030.0,558201.4,557472.9,562297.8,557256.8,563611.5,563525.7,560551.2,562280.8,564308.1,564283.4,557491.3,558978.4,456205.5,431155.4
АЗС №35426 Сямжа,455846.4,426677.7,429301.7,292056.0,292381.7,417498.8,429883.2,160737.3,158121.6,189271.5,422937.5,422449.9,433248.0,276599.5,234259.1,135564.5,221074.6,90312.2,408816.5,122221.9,195041.3,284887.9,219473.5,395279.5,391909.2,408862.6,0.0,112428.3,454509.4,48602.5,48598.2,185781.7,227970.7,93444.7,108591.1,355230.6,123618.0,52951.0,120167.3,116892.9,113584.3,118888.0,118551.4,118651.8,119416.0,109457.2,110617.7,118003.0,115583.8,252042.5,245213.8,244485.3,249310.3,244269.3,250624.0,250538.1,247563.7,249293.3,251320.6,251295.9,244503.8,245990.9,143218.0,118167.8
